id;nombre;descripcion;activated;deleted;created_by;created_date;last_modified_by;last_modified_date
124;Eliminar estatus tareas;Eliminar estatus tareas;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
125;Consultar tipos de tareas;Consultar tipos de tareas;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
126;Editar tipos de tareas;Editar tipos de tareas;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
127;Agregar tipos de tareas;Agregar tipos de tareas;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
128;Eliminar tipos de tareas;Eliminar tipos de tareas;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
129;Consultar bitácora;Consultar bitácora;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
130;Editar bitácora;Editar bitácora;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
131;Agregar bitácora;Agregar bitácora;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
132;Eliminar bitácora;Eliminar bitácora;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
133;Consultar requerimiento del candidato;Consultar requerimiento del candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
134;Editar requerimiento del candidato;Editar requerimiento del candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
135;Agregar requerimiento del candidato;Agregar requerimiento del candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
136;Eliminar requerimiento del candidato;Eliminar requerimiento del candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
137;Consultar permisos authority;Consultar permisos authority;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
138;Editar permisos authority;Editar permisos authority;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
139;Agregar permisos authority;Agregar permisos authority;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
140;Eliminar permisos authority;Eliminar permisos authority;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
